GA00071225394	GA00974685019
GA00812024302	GA00988409030
GA00812045482	
GA00812084062	GA00989043137
GA00812098292	
GA00812160192	
GA00812178032	GA00977329299
GA00812206222	GA00933542084
GA00812211862	
GA00812274082	
GA00812287052	
GA00812290282	
GA00812302272	
GA00812325752	GA00987903309
GA00812384252	GA00989210335
GA00812387812	
GA00812401882	
GA00812403192	
GA00812411292	
GA00812417312	
GA00812418572	GA00913699572
GA00812420542	
GA00812444182	
GA00812447742	GA00963008368
GA00812492012	
GA00812520202	GA00989265423
GA00812523872	GA00888999442
GA00812530712	GA00988603198
GA00812574272	GA00989198726
GA00812575422	GA00914168481
GA00812665782	
GA00812672622	
GA00812675192	GA00989233300
GA00812676342	
GA00812683292	GA00989230166
GA00812692542	
GA00812726862	
GA00812747932	GA00995513684
GA00812749242	GA00966747870
GA00812750062	GA00910947052
GA00812761722	GA00960607171
GA00812779672	
GA00812806602	
GA00812832212	GA00983437052
GA00812833472	
GA00812859412	
GA00812878182	GA00944810188
GA00812902652	
GA00812912062	GA00889277262
GA00812913212	
GA00812922572	
GA00812926292	GA00989259520
GA00812953052	
GA00812966022	GA00914778271
GA00812978942	GA00916819927
GA00812982222	
GA00812983482	
GA00812993992	
GA00813003252	
GA00813025582	GA00989104020
GA00813030012	GA00911114461
GA00813040522	GA00958174578
GA00813046652	
GA00813059622	
GA00813064162	
GA00813075822	
GA00813110962	
GA00813127652	
GA00813128802	
GA00813165082	GA00990027846
GA00813170612	
GA00813178052	
GA00813180022	
GA00813194252	
GA00813206242	GA00976965876
GA00813217902	
GA00813219212	GA00989201611
GA00813232952	GA00959428069
GA00813233002	
GA00813239132	
GA00813262282	
GA00813276402	
GA00813277662	
GA00813313952	
GA00813335182	GA00987316039
GA00813340712	
GA00813360632	
GA00813370042	
GA00813387832	
GA00813404362	GA00937594348
GA00813451042	GA00989180495
GA00813470802	
GA00813475782	
GA00813486342	
GA00813515792	
GA00813562472	
GA00813567342	GA00911161419
GA00813579162	
GA00813612992	GA00982081998
GA00813615452	GA00958860943
GA00813635372	
GA00813660822	
GA00813671492	GA00985271275
GA00813716372	GA00990691282
GA00813726882	GA00988986941
GA00813778432	
GA00813841592	GA00986281908
GA00813859432	GA00975350940
GA00813872072	
GA00813889862	
GA00813909952	GA00886980582
GA00813923742	GA00988672378
GA00813937972	
GA00813938022	
GA00813954222	
GA00813962322	
GA00813974142	GA00976217454
GA00813976552	
GA00813989522	GA00930100102
GA00814000702	GA00830357432
GA00814012522	
GA00814055922	
GA00814056082	
GA00814059642	
GA00814065332	
GA00814080382	
GA00814094502	GA00990791406
GA00814095762	GA00988174017
GA00814101622	GA00989218417
GA00814141462	
GA00814152022	
GA00814153282	
GA00814164942	
GA00814196682	
GA00814201392	
GA00814205002	
GA00814208672	
GA00814213102	
GA00814232972	
GA00814235432	GA00979503148
GA00814236692	GA00943784299
GA00814239152	
GA00814250482	
GA00814251632	GA00960543998
GA00814267172	
GA00814275272	
GA00814292622	
GA00814325792	
GA00814345602	
GA00814383032	
GA00814391132	
GA00814393542	GA00989231456
GA00814405532	
GA00814417352	
GA00814423042	
GA00814436012	GA00914787343
GA00814496872	
GA00814500322	GA00946122165
GA00814507602	
GA00814520242	GA00979217102
GA00814541312	
GA00814543722	
GA00814560082	GA00989263161
GA00814576612	
GA00814586022	
GA00814588432	
GA00814591662	GA00988961078
GA00814600092	GA00988984485
GA00814647102	
GA00814697452	
GA00814702162	GA00983472583
GA00814709442	
GA00814724492	GA00923921508
GA00814753662	
GA00814758532	GA00989001906
GA00814759792	GA00975346803
GA00814761762	GA00930185930
GA00814772322	
GA00814780422	GA00981294823
GA00814784142	GA00911608103
GA00814787702	
GA00814789012	GA00950031468
GA00814791092	GA00935692946
GA00814806642	
GA00814817202	
GA00814855732	
GA00814876802	
GA00814908712	
GA00814931862	
GA00814936732	
GA00814990362	
GA00815008162	GA00860655292
GA00815017412	
GA00815039742	
GA00815046692	GA00986352457
GA00815062892	GA00880388312
GA00815069072	
GA00815092112	GA00976128923
GA00815101642	
GA00815121562	GA00927187558
GA00815176782	
GA00815180062	
GA00815217942	
GA00815220072	GA00935243440
GA00815229762	
GA00815248422	GA00968777319
GA00815254112	
GA00815271572	GA00982383536
GA00815286952	
GA00815305892	
GA00815327012	
GA00815356292	GA00989197266
GA00815367952	GA00983219721
GA00815389182	
GA00815472152	
GA00815504062	GA00988672726
GA00815508882	GA00981174860
GA00815518292	GA00976948394
GA00815539362	
GA00815540182	
GA00815549872	
GA00815589602	GA00989122932
GA00815594142	GA00983978096
GA00815597702	
GA00815614232	
GA00815624742	
GA00815657632	
GA00815685652	
GA00815711432	
GA00815743172	
GA00815778472	GA00989230727
GA00815794672	
GA00815795822	
GA00815801792	GA00915801889
GA00815812352	GA00916683359
GA00815831012	
GA00815832272	GA00930553506
GA00815835832	
GA00815837142	
GA00815841522	
GA00815858212	GA00978657443
GA00815859472	
GA00815894332	GA00946086320
GA00815923782	
GA00815931882	
GA00815947312	
GA00815965922	GA00989079840
GA00815972872	
GA00815993942	
GA00816037352	
GA00816041732	
GA00816051142	GA00889036702
GA00816061652	
GA00816064112	GA00952185128
GA00816067782	
GA00816145112	
GA00816182492	
GA00816207452	GA00968850067
GA00816210682	
GA00816248442	
GA00816315212	
GA00816317622	
GA00816343232	
GA00816351332	
GA00816361842	
GA00816381762	
GA00816382912	GA00995938154
GA00816404312	GA00989084526
GA00816424232	
GA00816453402	GA00990662584
GA00816506492	GA00980567087
GA00816510872	GA00989025554
GA00816512182	
GA00816521432	GA00911044110
GA00816547482	GA00910747711
GA00816566142	
GA00816579112	GA00989058371
GA00816636582	
GA00816652782	GA00992891378
GA00816662192	GA00992121106
GA00816665752	
GA00816666902	
GA00816690102	GA00938360065
GA00816723272	
GA00816740622	
GA00816744342	
GA00816763002	
GA00816769132	
GA00816793432	
GA00816795842	GA00989066110
GA00816806682	
GA00816814782	
GA00816822882	
GA00816841542	
GA00816852102	
GA00816873282	
GA00816884942	GA00939186328
GA00816898072	GA00924520884
GA00816901472	GA00989187619
GA00816919312	
GA00817000762	
GA00817005632	
GA00817018602	
GA00817021832	
GA00817066542	
GA00817068952	
GA00817097022	
GA00817101682	
GA00817135722	GA00980345173
GA00817136982	
GA00817146392	GA00988677841
GA00817159362	GA00981555228
GA00817167462	GA00988888222
GA00817192912	
GA00817193072	GA00876329182
GA00817194222	GA00992613300
GA00817197892	
GA00817203752	GA00937593287
GA00817206212	
GA00817209882	
GA00817215572	
GA00817217982	
GA00817244742	
GA00817249612	GA00979330359
GA00817260942	
GA00817283322	
GA00817315232	
GA00817336302	
GA00817354912	GA00987215518
GA00817358632	GA00989273906
GA00817379702	GA00989098543
GA00817391192	
GA00817399622	
GA00817406742	
GA00817429122	
GA00817432352	
GA00817457142	
GA00817464092	
GA00817475752	
GA00817478212	GA00987604638
GA00817493262	GA00989209256
GA00817496822	
GA00817500382	GA00989217380
GA00817523862	
GA00817525172	GA00988861170
GA00817536832	
GA00817540112	GA00989209302
GA00817545092	
GA00817561292	GA00945743328
GA00817576672	GA00974212110
GA00817591612	
GA00817634192	
GA00817669492	GA00942329350
GA00817694942	GA00971067756
GA00817699812	GA00991232702
GA00817721982	
GA00817731392	GA00989171356
GA00817789072	
GA00817815952	
GA00817842712	GA00952160249
GA00817850812	
GA00817889832	GA00932356864
GA00817943632	
GA00817967272	GA00990006520
GA00817980902	
GA00818008112	
GA00818011342	
GA00818018622	
GA00818119542	
GA00818125232	
GA00818137052	GA00977054001
GA00818149972	
GA00818167482	
GA00818178042	GA00989224840
GA00818190522	
GA00818194242	
GA00818201362	GA00986056009
GA00818218052	GA00988749516
GA00818232942	
GA00818291442	
GA00818299982	
GA00818300972	
GA00818313942	
GA00818340702	
GA00818351372	GA00910208055
GA00818437242	GA00930936294
GA00818513372	
GA00818522622	
GA00818531982	
GA00818574282	
GA00818711492	
GA00818749252	
GA00818785372	
GA00818792212	GA00939432469
GA00818793472	GA00992612061
GA00818798342	
GA00818840322	
GA00818846452	
GA00818885032	
GA00818936702	
GA00819045402	GA00924005769
GA00819066582	GA00989102680
GA00819075832	GA00989050524
GA00819150702	
GA00819156832	GA00912659089
GA00819160112	
GA00819244782	GA00931035584
GA00819247242	
GA00819249652	GA00930268240
GA00819282102	
GA00819328242	GA00984007957
GA00819360642	
GA00819364362	
GA00819381712	GA00989214977
GA00819391122	GA00995216671
GA00819394792	
GA00819401802	GA00988931721
GA00819409242	
GA00819419752	
GA00819437262	
GA00819569762	GA00912582914
GA00819571732	GA00988719471
GA00819623562	
GA00819638942	
GA00819644632	
GA00819653992	GA00989242326
GA00819664552	
GA00819672652	
GA00819676372	GA00964976430
GA00819680752	GA00864477062
GA00819688192	
GA00819700842	GA00994936670
GA00819703302	
GA00819716382	
GA00819731322	GA00938040699
GA00819759782	
GA00819781672	
GA00819799512	
GA00819802912	
GA00819807892	GA00974484838
GA00819894302	
GA00819912092	
GA00819982252	
GA00819992762	
GA00820024362	GA00988661791
GA00820058402	GA00814055922
GA00820061632	
GA00820115872	
GA00820152042	
GA00820232992	
GA00820255372	GA00989197789
GA00820410092	
GA00820424212	GA00989068504
GA00820427882	GA00916193971
GA00820556712	
GA00820626052	
GA00820665732	
GA00820733762	GA00988858471
GA00820760522	
GA00820777212	
GA00820857062	
GA00820925092	GA00912255697
GA00820953002	
GA00820963512	
GA00821018692	
GA00821041732	GA00993873454
GA00821061652	GA00987146265
GA00821069092	GA00988918474
GA00821167442	
GA00821196612	
GA00821215552	GA00934763149
GA00821216702	
GA00821243572	
GA00821260922	GA00974348144
GA00821262232	
GA00821267102	GA00980782522
GA00821285712	GA00913406869
GA00821313902	GA00914367751
GA00821349362	
GA00821350182	
GA00821460352	
GA00821465222	GA00984661185
GA00821473322	GA00930148393
GA00821476992	
GA00821507642	GA00989068768
GA00821523842	
GA00821530792	
GA00821582342	
GA00821584752	
GA00821594162	
GA00821596572	
GA00821600022	GA00981391209
GA00821663342	GA00989047884
GA00821666902	
GA00821744342	
GA00821754852	
GA00821756162	
GA00821757312	
GA00821782872	
GA00821784182	GA00934382404
GA00821799562	
GA00821802962	
GA00821858232	
GA00821910722	
GA00822003222	
GA00822006892	
GA00822168612	GA00937688784
GA00822188532	
GA00822192912	
GA00822193072	
GA00822195482	GA00982706645
GA00822221262	
GA00822251692	
GA00822276482	GA00943646554
GA00822314082	GA00989078801
GA00822351352	
GA00822492002	
GA00822496822	
GA00822629652	
GA00822648312	
GA00822666922	
GA00822673872	GA00966074779
GA00822745512	
GA00822758592	
GA00822859402	GA00889221682
GA00822860222	
GA00822888682	GA00941395147
GA00822910742	
GA00823150792	GA00916218753
GA00823164912	GA00979309600
GA00823181272	
GA00823213182	
GA00823251602	GA00883510062
GA00823297572	GA00910035851
GA00823315252	
GA00823355092	
GA00823450982	
GA00823619162	
GA00823626002	
GA00823710232	
GA00823720742	
GA00823754892	GA00934467035
GA00823758502	GA00989023152
GA00823873212	
GA00823923732	GA00920968201
GA00823963572	GA00992758449
GA00824045402	
GA00824057222	
GA00824101612	
GA00824184852	
GA00824207402	GA00988963941
GA00824234272	
GA00824269572	
GA00824328242	
GA00824349312	GA00979702752
GA00824366772	GA00989066773
GA00824387842	
GA00824449082	
GA00824491992	
GA00824535612	GA00881596822
GA00824545022	
GA00824675112	
GA00824769192	
GA00824812322	
GA00824834652	GA00981237269
GA00824870772	GA00964393400
GA00824878102	GA00989059904
GA00824897972	GA00911608103
GA00824931852	GA00946229660
GA00825014942	
GA00825019812	
GA00825068902	GA00889209402
GA00825072292	
GA00825105352	
GA00825114602	
GA00825141472	
GA00825206272	
GA00825231722	
GA00825248412	
GA00825274022	
GA00825275282	
GA00825283382	GA00879703182
GA00825342052	
GA00825427872	GA00987151277
GA00825446532	GA00915254209
GA00825535632	GA00916017618
GA00825539352	GA00995251426
GA00825668292	
GA00825706992	
GA00825798382	GA00989893998
GA00825835822	
GA00825870792	GA00833090852
GA00825911952	
GA00825920102	
GA00825923772	
GA00825935592	GA00916153597
GA00825985832	GA00963900775
GA00825993932	
GA00826079592	
GA00826110902	GA00989249010
GA00826132132	GA00992236930
GA00826153202	
GA00826154462	
GA00826242302	GA00989197789
GA00826272732	GA00932251868
GA00826316462	
GA00826387882	
GA00826466472	GA00979367228
GA00826632852	GA00989110624
GA00826636572	
GA00826641002	
GA00826660872	GA00957544088
GA00826753692	
GA00826907592	
GA00826990392	
GA00826997672	
GA00826998822	
GA00827113492	
GA00827199192	
GA00827210692	GA00975933334
GA00827396052	GA00989207830
GA00827400602	
GA00827422932	
GA00827442852	GA00989243241
GA00827495662	
GA00827560022	
GA00827672602	
GA00827678732	
GA00827711462	
GA00827722022	
GA00827821632	GA00981034090
GA00827967262	
GA00828009362	
GA00828113402	
GA00828143832	GA00957607845
GA00828165062	GA00889116862
GA00828187392	
GA00828195492	
GA00828221272	
GA00828259032	
GA00828275232	
GA00828296302	GA00858798302
GA00828303422	GA00843968422
GA00828314092	
GA00828315242	
GA00828317652	GA00939611908
GA00828326902	
GA00828345672	
GA00828447742	GA00948236907
GA00828525182	GA00988131938
GA00828547402	GA00989129309
GA00828621122	
GA00828641042	
GA00828666932	
GA00828681982	GA00938111367
GA00828689312	
GA00828716352	GA00960912624
GA00828728172	
GA00828764292	GA00923957413
GA00828773542	
GA00828795872	GA00932157861
GA00828809172	
GA00828824112	
GA00828829092	GA00989082604
GA00828841572	GA00990524599
GA00828873202	GA00989775146
GA00828914472	
GA00828916882	
GA00828925032	GA00981410157
GA00828927442	
GA00828930672	
GA00828951742	
GA00828954202	
GA00828956612	
GA00828968432	GA00989240609
GA00828975382	
GA00828994042	GA00989114514
GA00828996452	GA00992451513
GA00829014912	
GA00829027992	
GA00829028042	
GA00829030012	
GA00829043092	
GA00829046652	
GA00829054752	GA00919659297
GA00829070952	
GA00829071002	GA00992336765
GA00829094592	
GA00829101602	
GA00829107732	GA00987668989
GA00829125242	
GA00829133342	
GA00829139472	
GA00829154412	GA00930494747
GA00829178052	
GA00829184842	
GA00829186152	
GA00829188562	
GA00829192942	
GA00829195402	
GA00829199122	GA00990633525
GA00829213192	
GA00829220032	GA00977312558
GA00829221292	GA00989184407
GA00829222442	
GA00829224852	
GA00829235412	
GA00829241102	
GA00829251612	
GA00829262282	
GA00829272792	
GA00829275252	
GA00829278812	GA00930329320
GA00829291452	
GA00829297582	GA00990633525
GA00829325772	
GA00829330202	
GA00829344432	
GA00829350122	
GA00829351382	GA00851630422
GA00829353792	GA00981475801
GA00829357402	
GA00829358662	
GA00829359812	GA00981315626
GA00829367912	
GA00829370042	GA00989146718
GA00829373602	
GA00829380552	GA00989206796
GA00829420562	
GA00829422972	
GA00829439662	
GA00829442892	
GA00829445352	
GA00829447762	
GA00829463962	
GA00829468832	
GA00829472112	GA00989169092
GA00829474522	
GA00829481472	
GA00829502712	
GA00829543702	
GA00829581132	
GA00829596512	
GA00829627272	
GA00829637782	
GA00829650312	GA00989058258
GA00829685612	GA00985204306
GA00829686872	
GA00829694972	
GA00829698692	
GA00829702142	GA00977053617
GA00829706962	
GA00829744392	GA00988263419
GA00829820412	
GA00829825392	GA00947574884
GA00829842742	GA00925675040
GA00829846462	GA00858394732
GA00829876892	GA00989232762
GA00829906392	GA00830357432
GA00829910772	GA00990638861
GA00829929872	
GA00829946122	
GA00829957892	GA00977048710
GA00829970422	GA00950303093
GA00829987112	GA00935478715
GA00829997622	
GA00830008152	GA00931122541
GA00830009302	
GA00830012532	
GA00830013792	GA00984309716
GA00830018662	GA00913404092
GA00830032452	
GA00830043012	GA00990210780
GA00830054782	
GA00830068902	
GA00830070982	GA00937418450
GA00830072292	
GA00830078312	
GA00830086412	
GA00830097082	GA00946429902
GA00830102892	GA00987604638
GA00830106502	
GA00830114602	
GA00830132112	GA00910409190
GA00830148752	GA00971435704
GA00830170642	
GA00830173102	GA00989075853
GA00830182462	
GA00830183612	
GA00830184872	
GA00830187332	GA00940757479
GA00830193022	
GA00830196692	GA00989174703
GA00830203702	
GA00830207422	
GA00830216782	GA00987631627
GA00830218092	
GA00830255362	
GA00830256512	
GA00830257772	GA00980400689
GA00830274022	GA00989254510
GA00830297502	
GA00830302212	
GA00830303472	GA00975264386
GA00830332642	
GA00830350152	
GA00830354972	GA00992670886
GA00830355022	GA00985049114
GA00830357432	GA00980386694
GA00830360662	GA00988984949
GA00830377352	
GA00830393552	
GA00830395962	
GA00830404392	
GA00830412492	GA00942764081
GA00830416102	
GA00830438432	GA00989223445
GA00830463992	
GA00830472142	
GA00830476962	GA00941799272
GA00830477012	
GA00830478272	GA00982983185
GA00830480242	GA00928975835
GA00830501592	
GA00830508872	
GA00830510842	GA00988750131
GA00830516972	
GA00830526382	
GA00830560092	
GA00830567372	
GA00830586032	
GA00830588442	GA00990633525
GA00830614222	GA00989748424
GA00830641092	
GA00830673822	GA00983506011
GA00830684492	
GA00830695052	GA00988718734
GA00830717552	GA00988953083
GA00830730192	
GA00830751262	
GA00830762922	GA00944541756
GA00830773592	
GA00830776052	GA00948025728
GA00830779612	GA00911842998
GA00830802932	GA00992630450
GA00830807802	GA00989056948
GA00830816062	
GA00830819622	GA00979753470
GA00830829032	GA00952022326
GA00830833412	
GA00830846492	
GA00830857052	
GA00830861432	
GA00830867562	
GA00830868712	GA00932166666
GA00830870792	
GA00830875662	
GA00830878122	
GA00830886222	
GA00830887482	
GA00830889892	
GA00830891862	
GA00830894322	
GA00830897992	
GA00830898042	GA00938050287
GA00830900292	
GA00830907572	
GA00830922512	
GA00830938052	GA00980356663
GA00830946152	
GA00830947302	
GA00830950532	GA00987101199
GA00830956662	
GA00830963502	
GA00830966072	
GA00830969632	
GA00830970452	
GA00830983422	
GA00830994092	GA00930314862
GA00830995242	
GA00831012552	
GA00831014962	
GA00831016272	GA00915383416
GA00831018682	
GA00831020652	
GA00831025522	
GA00831032472	GA00986355936
GA00831044292	
GA00831045442	GA00983636608
GA00831057262	GA00989110438
GA00831071052	
GA00831073462	GA00989264656
GA00831087692	GA00941450741
GA00831088842	
GA00831098252	
GA00831101652	GA00928859320
GA00831102802	
GA00831110902	GA00975998819
GA00831123982	GA00986386092
GA00831149922	
GA00831156872	GA00990540268
GA00831165022	GA00989246828
GA00831171812	
GA00831179252	
GA00831193042	GA00957193218
GA00831210672	
GA00831226102	
GA00831227362	
GA00831245972	
GA00831246022	GA00983753922
GA00831258942	
GA00831260912	GA00818313942
GA00831262222	
GA00831264632	
GA00831292652	
GA00831299932	
GA00831309512	
GA00831316462	
GA00831371242	
GA00831384212	GA00971180188
GA00831392312	
GA00831420502	GA00836094522
GA00831454652	
GA00831468882	
GA00831481412	
GA00831487542	GA00959674663
GA00831495642	
GA00831500352	GA00989199331
GA00831504072	
GA00831516992	
GA00831539372	
GA00831544902	
GA00831546212	
GA00831564822	GA00985907293
GA00831567392	GA00816051142
GA00831568542	
GA00831570512	GA00889079452
GA00831619112	
GA00831624752	
GA00831627212	
GA00831656492	
GA00831660872	
GA00831670282	GA00946670081
GA00831681942	
GA00831683252	GA00992060077
GA00831686812	
GA00831702192	
GA00831723262	
GA00831735082	GA00989171461
GA00831754842	
GA00831758562	
GA00831794682	
GA00831821612	
GA00831822872	
GA00831826592	GA00988964816
GA00831842792	GA00921797427
GA00831850892	
GA00831858222	GA00988967173
GA00831871962	GA00912634744
GA00831881372	GA00989104098
GA00831890622	
GA00831891882	
GA00831900202	GA00952571125
GA00831919302	GA00955043901
GA00831921382	
GA00831924942	
GA00831934352	GA00986212639
GA00831954272	
GA00831972882	
GA00832001902	
GA00832005622	GA00879478642
GA00832008192	
GA00832009342	GA00915928005
GA00832014982	GA00980838714
GA00832017442	
GA00832031232	GA00950948906
GA00832036102	
GA00832040592	GA00988964964
GA00832052302	
GA00832071072	
GA00832099422	
GA00832112232	
GA00832118362	
GA00832121592	
GA00832126462	GA00889131322
GA00832135712	GA00989228706
GA00832138282	
GA00832151912	
GA00832161322	
GA00832165042	
GA00832168602	GA00989139797
GA00832169862	
GA00832170682	GA00994835661
GA00832186112	
GA00832191752	
GA00832192902	GA00987314036
GA00832194212	GA00989072064
GA00832209872	GA00989174916
GA00832249602	
GA00832252832	
GA00832258962	
GA00832274062	
GA00832282162	
GA00832284572	
GA00832291412	
GA00832297542	
GA00832299952	GA00968425390
GA00832303402	
GA00832304662	
GA00832315222	
GA00832330272	
GA00832355062	GA00933946010
GA00832371262	
GA00832372412	GA00943646554
GA00832374822	
GA00832404322	
GA00832418552	
GA00832431192	GA00923847510
GA00832432342	
GA00832436062	GA00883048652
GA00832437212	GA00988750166
GA00832439622	GA00987554282
GA00832452262	
GA00832459542	
GA00832479462	
GA00832507652	
GA00832516902	GA00995289199
GA00832517062	
GA00832520292	
GA00832521442	GA00948320770
GA00832529982	GA00975883914
GA00832538132	
GA00832547492	
GA00832548642	
GA00832554332	GA00994707981
GA00832571792	
GA00832572942	
GA00832632872	
GA00832639052	
GA00832651532	GA00989210858
GA00832652792	GA00994835661
GA00832660892	GA00971104252
GA00832667072	
GA00832673862	GA00972405841
GA00832678732	
GA00832681962	
GA00832747912	GA00977508908
GA00832748072	
GA00832760552	
GA00832762962	GA00990566453
GA00832800562	
GA00832805432	GA00866100462
GA00832817252	
GA00832821632	GA00979173822
GA00832834602	
GA00832835862	
GA00832848832	
GA00832860212	
GA00832874442	
GA00832890642	GA00991074465
GA00832918172	
GA00832925012	
GA00832952982	GA00910958178
GA00832955442	
GA00832985872	GA00990515441
GA00832992712	
GA00833018612	
GA00833023152	GA00934862937
GA00833026712	GA00940434521
GA00833058452	
GA00833069012	GA00946450197
GA00833082752	
GA00833084062	
GA00833090852	
GA00833096982	
GA00833114662	
GA00833125222	GA00980386767
GA00833158112	
GA00833159372	
GA00833192922	GA00989088521
GA00833204912	
GA00833208632	GA00988731323
GA00833210602	GA00993533726
GA00833214322	
GA00833216732	
GA00833231782	
GA00833233092	
GA00833237802	GA00989247484
GA00833241192	
GA00833267132	
GA00833269542	
GA00833275232	GA00937594348
GA00833282182	GA00991676201
GA00833330292	
GA00833335162	
GA00833350102	
GA00833354922	GA00994057499
GA00833355082	
GA00833384252	GA00837884942
GA00833396072	GA00980567311
GA00833420542	
GA00833435922	GA00980341097
GA00833444182	
GA00833451022	
GA00833483862	GA00954754413
GA00833496832	
GA00833504002	
GA00833506412	GA00933512487
GA00833533282	GA00988852368
GA00833543792	
GA00833557912	
GA00833574272	
GA00833594192	GA00939213368
GA00833598902	GA00989221329
GA00833606182	
GA00833614282	
GA00833627252	
GA00833638912	GA00988885061
GA00833653962	GA00914653444
GA00833662112	
GA00833676342	
GA00833678752	
GA00833684442	GA00937523106
GA00833694952	
GA00833711482	
GA00833713892	GA00974448599
GA00833718762	GA00967769010
GA00833724452	
GA00833734962	
GA00833777262	
GA00833779672	GA00991168605
GA00833780492	
GA00833799592	GA00916133766
GA00833800582	
GA00833809172	
GA00833821652	
GA00833829092	GA00934204573
GA00833844032	GA00989183761
GA00833858262	GA00989470906
GA00833869922	
GA00833872052	
GA00833873202	
GA00833875612	
GA00833880152	
GA00833881302	GA00986972285
GA00833886282	GA00989252836
GA00833888692	GA00914367751
GA00833895532	
GA00833900242	
GA00833912062	
GA00833916882	
GA00833923722	GA00989251279
GA00833927442	
GA00833938002	
GA00833946102	
GA00833950592	
GA00833957872	GA00989059580
GA00833963562	
GA00834001942	GA00937895976
GA00834049112	
GA00834059622	
GA00834065312	GA00963401949
GA00834083922	GA00986130861
GA00834087642	GA00989087320
GA00834095742	
GA00834102862	GA00989147536
GA00834110962	
GA00834119552	GA00987604638
GA00834161362	
GA00834194252	
GA00834203782	GA00971125764
GA00834204932	
GA00834233002	
GA00834244772	
GA00834246082	
GA00834247232	
GA00834248492	GA00969290812
GA00834254182	GA00971125764
GA00834255332	
GA00834262282	GA00989194348
GA00834265842	
GA00834305852	GA00948148978
GA00834308312	GA00957069525
GA00834327082	GA00865118392
GA00834329492	
GA00834338742	
GA00834346842	
GA00834356252	GA00989119222
GA00834360632	GA00991779469
GA00834364352	GA00976851277
GA00834378582	
GA00834382962	GA00911958821
GA00834383012	GA00960332164
GA00834403102	GA00966525576
GA00834404362	
GA00834406772	GA00910324381
GA00834407922	
GA00834416182	GA00994758683
GA00834417332	
GA00834432382	GA00988953989
GA00834435942	
GA00834462702	GA00888839852
GA00834464012	GA00989162659
GA00834485192	
GA00834502712	
GA00834514532	
GA00834520222	
GA00834526352	GA00989192248
GA00834529912	
GA00834543702	GA00980384292
GA00834577852	
GA00834581132	
GA00834596512	
GA00834616602	GA00988683469
GA00834627272	
GA00834640902	GA00947372866
GA00834642212	
GA00834644622	GA00834248492
GA00834650312	
GA00834664542	
GA00834684462	
GA00834698692	
GA00834709422	GA00986294856
GA00834715112	
GA00834732572	GA00989084062
GA00834734982	
GA00834735032	GA00930823287
GA00834736292	GA00986130861
GA00834739852	
GA00834748002	
GA00834760592	
GA00834767872	
GA00834771152	
GA00834784122	
GA00834787792	
GA00834792222	GA00989109375
GA00834831082	
GA00834838362	
GA00834852152	
GA00834856972	
GA00834863812	GA00952950649
GA00834871912	
GA00834874482	GA00986130861
GA00834890682	
GA00834902672	GA00975998819
GA00834921332	
